"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"177","56","Eggnog","Eggnog","1","fl oz","6.00","1.00","28.40","28","1.450","1.330","2.560","0.000","2.560","41.000","0.060","52.000","17.000","0.500","0.011","0.060","0.033","0.000","0.016","0.140","0.000","0.000","66.000","0.070","0.400","0.100","0.824","0.414","0.063","19.000","0.000","0.000",
"179","57","Product","Sour dressing, non-butterfat, cultured, filled cream-type","1","cup","48.00","0.00","0.00","418","7.640","38.940","11.000","0.000","11.000","266.000","0.070","381.000","113.000","2.100","0.089","0.383","0.174","0.000","0.040","0.780","28.000","0.000","24.000","3.150","0.000","9.600","31.189","4.601","1.100","12.000","0.000","0.000",
"180","57","Product","Sour dressing, non-butterfat, cultured, filled cream-type","1","tbsp","3.00","0.00","0.00","21","0.390","1.990","0.560","0.000","0.560","14.000","0.000","19.000","6.000","0.100","0.005","0.020","0.009","0.000","0.002","0.040","1.000","0.000","1.000","0.160","0.000","0.500","1.593","0.235","0.056","1.000","0.000","0.000",
"181","58","Product","Milk, filled, fluid, with blend of hydrogenated vegetable oils","1","oz","0.00","1.00","28.40","18","0.940","0.980","1.340","0.000","0.000","36.000","0.010","39.000","16.000","0.300","0.009","0.035","0.025","0.000","0.011","0.100","1.000","0.000","2.000","0.000","0.000","0.000","0.218","0.505","0.213","1.000","0.000","0.000",
"182","58","Product","Milk, filled, fluid, with blend of hydrogenated vegetable oils","1","cup","48.00","0.00","242.98","154","8.130","8.440","11.570","0.000","0.000","312.000","0.120","339.000","139.000","2.200","0.073","0.300","0.212","0.000","0.098","0.830","12.000","0.000","17.000","0.000","0.000","0.000","1.874","4.351","1.830","5.000","0.000","0.000",
"184","59","Milk with lauric acid oil","Milk, filled, fluid, with lauric acid oil","1","cup","48.00","0.00","230.19","154","8.130","8.300","11.570","0.000","11.570","312.000","0.120","339.000","139.000","2.200","0.073","0.300","0.212","0.000","0.098","0.830","12.000","0.000","17.000","0.320","0.000","2.000","7.566","0.244","0.024","5.000","0.000","0.000",
"185","59","Milk with lauric acid oil","Milk, filled, fluid, with lauric acid oil","1","fl oz","6.00","1.00","28.40","19","1.020","1.040","1.450","0.000","1.450","39.000","0.020","42.000","17.000","0.300","0.009","0.038","0.027","0.000","0.012","0.100","2.000","0.000","2.000","0.040","0.000","0.200","0.946","0.031","0.003","1.000","0.000","0.000",
"187","60","Cream substitute, liquid","Cream substitute, liquid, with hydrogenated vegetable oil and soy protein","1","cup","48.00","0.00","225.81","326","2.400","23.930","27.310","0.000","27.310","22.000","0.070","458.000","190.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","36.000","1.940","0.000","6.000","4.649","18.122","0.065","0.000","0.000","0.000",
"188","60","Cream substitute, liquid","Cream substitute, liquid, with hydrogenated vegetable oil and soy protein","1","fl oz","6.00","1.00","28.40","41","0.300","2.990","3.410","0.000","3.410","3.000","0.010","57.000","24.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","4.000","0.240","0.000","0.800","0.581","2.265","0.008","0.000","0.000","0.000",
"189","61","Liquid cream substitute","Cream substitute, liquid, with lauric acid oil and sodium caseinate","1","oz","0.00","1.00","28.40","39","0.280","2.830","3.230","0.000","0.000","3.000","0.010","54.000","22.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","25.000","0.000","0.000","0.000","2.638","0.030","0.001","0.000","0.000","0.000",
