"FoodID","SourceID","CommonName","FoodName","CatCode","Units","Teaspoons","Ounces","Grams","Calories","Protein","Fat","Carb","Fiber","Sugars","Calcium","Iron","Potassium","Sodium","VitC","VitB1","VitB2","VitB3","VitB5","VitB6","VitB12","Folate","FolicA","VitA","VitE","VitD","VitK","SatFat","MonoFat","PolyFat","Chol","Alcohol","Caffeine","Allergen"
"13849","6446","Cornmeal, degermed, enriched, white","Cornmeal, degermed, enriched, white","20","cup","48.00","0.00","157.15","581","11.160","2.750","124.740","6.100","2.530","5.000","6.850","223.000","11.000","0.000","0.865","0.600","7.800","0.000","0.286","0.000","328.000","283.000","5.000","0.190","0.000","0.000","0.265","0.469","0.995","0.000","0.000","0.000",
"13850","6447","Cornmeal, self-rising, bolted, plain, enriched, white","Cornmeal, self-rising, bolted, plain, enriched, white","20","oz","0.00","1.00","28.40","95","2.350","0.960","19.920","1.900","0.000","102.000","1.630","72.000","354.000","0.000","0.187","0.113","1.500","0.000","0.153","0.000","66.000","50.000","0.000","0.000","0.000","0.000","0.136","0.254","0.439","0.000","0.000","0.000",
"13851","6447","Cornmeal, self-rising, bolted, plain, enriched, white","Cornmeal, self-rising, bolted, plain, enriched, white","20","cup","48.00","0.00","121.67","407","10.100","4.150","85.740","8.200","0.000","440.000","7.030","311.000","1521.000","0.000","0.806","0.488","6.455","0.000","0.659","0.000","284.000","215.000","0.000","0.000","0.000","0.000","0.583","1.094","1.891","0.000","0.000","0.000",
"13852","6448","Cornmeal, self-rising, bolted, with wheat flour added, enriched, white","Cornmeal, self-rising, bolted, with wheat flour added, enriched, white","20","oz","0.00","1.00","28.40","99","2.380","0.810","20.820","1.800","0.000","85.000","1.400","59.000","374.000","0.000","0.202","0.123","1.475","0.000","0.109","0.000","75.000","56.000","0.000","0.000","0.000","0.000","0.113","0.213","0.368","0.000","0.000","0.000",
"13853","6448","Cornmeal, self-rising, bolted, with wheat flour added, enriched, white","Cornmeal, self-rising, bolted, with wheat flour added, enriched, white","20","cup","48.00","0.00","169.83","592","14.300","4.840","124.830","10.700","0.000","508.000","8.420","352.000","2242.000","0.000","1.212","0.736","8.843","0.000","0.655","0.000","449.000","337.000","0.000","0.000","0.000","0.000","0.680","1.277","2.205","0.000","0.000","0.000",
"13854","6449","Cornmeal, self-rising, degermed, enriched, white","Cornmeal, self-rising, degermed, enriched, white","20","oz","0.00","1.00","28.40","101","2.380","0.490","21.200","2.000","0.000","99.000","1.340","48.000","382.000","0.000","0.192","0.110","1.294","0.000","0.111","0.000","66.000","57.000","0.000","0.000","0.000","0.000","0.066","0.122","0.210","0.000","0.000","0.000",
"13855","6449","Cornmeal, self-rising, degermed, enriched, white","Cornmeal, self-rising, degermed, enriched, white","20","cup","48.00","0.00","137.78","490","11.610","2.370","103.210","9.800","0.000","483.000","6.530","235.000","1860.000","0.000","0.936","0.534","6.301","0.000","0.538","0.000","322.000","279.000","0.000","0.000","0.000","0.000","0.323","0.592","1.020","0.000","0.000","0.000",
"13856","6450","Hominy, canned, yellow","Hominy, canned, yellow","20","oz","0.00","1.00","28.40","20","0.420","0.250","4.040","0.700","0.000","3.000","0.180","3.000","60.000","0.000","0.001","0.002","0.009","0.000","0.001","0.000","0.000","0.000","31.000","0.000","0.000","0.000","0.035","0.065","0.113","0.000","0.000","0.000",
"13857","6450","Hominy, canned, yellow","Hominy, canned, yellow","20","cup","48.00","0.00","163.30","115","2.370","1.410","22.820","4.000","0.000","16.000","0.990","14.000","336.000","0.000","0.005","0.010","0.053","0.000","0.008","0.000","2.000","0.000","176.000","0.000","0.000","0.000","0.197","0.370","0.638","0.000","0.000","0.000",
"13858","6451","Rice, white, long-grain, regular, cooked, enriched, with salt","Rice, white, long-grain, regular, cooked, enriched, with salt","20","oz","0.00","1.00","28.40","37","0.760","0.080","7.990","0.100","0.010","3.000","0.340","10.000","108.000","0.000","0.046","0.004","0.418","0.000","0.026","0.000","16.000","16.000","0.000","0.010","0.000","0.000","0.022","0.025","0.022","0.000","0.000","0.000",
"13859","6451","Rice, white, long-grain, regular, cooked, enriched, with salt","Rice, white, long-grain, regular, cooked, enriched, with salt","20","cup","48.00","0.00","157.35","205","4.250","0.440","44.510","0.600","0.080","16.000","1.900","55.000","604.000","0.000","0.258","0.021","2.332","0.000","0.147","0.000","92.000","87.000","0.000","0.060","0.000","0.000","0.122","0.139","0.120","0.000","0.000","0.000",
